id,4205001@工程分析（一）@1@1,4205004@有限元素分析@1@1,4205005@線性系統@1@1,4205007@彈性力學@1@1,4205106@齒輪原理@1@1,4205110@微致動器@1@1,4205201@電腦輔助機械製造@1@1,4205302@聲學@1@1,4205451@材料機械性質@1@1,4205510@進階流體力學@1@1,4205512@奈微米流體工程@1@1,4205557@內燃機設計@1@1,4205563@氫能與燃料電池@1@1,4205602@磨潤學（一）@1@1,4205704@數位訊號處理@1@1,4205710@機器學習@1@1,4205712@界面物理與薄膜製程@1@1,4205766@工具機控制器設計與分析@1@1,4205769@影像分析與應用@1@1,4205803@機器人學@1@1,4205904@專題研討@1@1,4206154@精密機械設計@1@1,4206301@結構動力學@1@1,4205054@高等電腦輔助工程分析方法@2@1,4205109@高等電腦輔助幾何設計@2@1,4205154@高等齒輪原理@2@1,4205161@高等機器人學@2@1,4205162@工具機PC NC架構之CNC人機介面設計與應用@2@1,4205251@電腦控制製造系統@2@1,4205363@工程塑性力學@2@1,4205401@銲接工程概論@2@1,4205601@中等流體力學@2@1,4205653@磨潤學（二）@2@1,4205711@電動車動力與控制@2@1,4205756@振動控制@2@1,4205765@軟性電子印刷製程@2@1,4205958@專題研討@2@1,4205960@微機電系統@2@1,4206356@疲勞分析與設計@2@1,4206502@中等熱傳學（一）@2@1,4206701@數位控制系統設計@2@1,4206706@控制電子@2@1,4206952@特論（二）：旋轉機械動力學@2@1,4206954@精密量測@2@1,4205502@中等熱力學@1@1,4205562@奈微米流體科技特論-微操控技術@1@1,4205713@電動機驅動與控制@1@1,4205771@工具機結構分析與控制@2@1,4208751@熱聲動力與控制@2@1,4205505@內燃機設計@2@1
603420009,98,NaN,82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,90,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,92,NaN,91,NaN,NaN,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603420020,74,NaN,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,80,86,NaN,NaN,NaN,NaN,NaN,NaN,91,80,NaN,NaN,NaN,NaN,NaN,70,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN
603420023,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,96,90,NaN,86,NaN,NaN,NaN,NaN,NaN,94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,91,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603420025,56,NaN,81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,83,NaN,91,NaN,70,86,NaN,NaN,NaN,NaN,NaN,NaN,91,72,NaN,NaN,NaN,NaN,NaN,70,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,86,NaN,NaN,NaN,NaN,NaN,NaN
603420026,80,NaN,88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,85,84,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,84,NaN,NaN,72,NaN,82,90,NaN,NaN,NaN,NaN,NaN,NaN
603420028,73,NaN,NaN,NaN,NaN,NaN,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,79,78,81,NaN,NaN,NaN,NaN,NaN,80,87,79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603420032,92,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,NaN,86,NaN,92,78,NaN,NaN,92,NaN,NaN,93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603420036,82,72,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,79,75,79,NaN,NaN,85,NaN,NaN,NaN,87,83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
603420042,77,NaN,NaN,NaN,NaN,NaN,71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,NaN,NaN,82,78,NaN,NaN,NaN,NaN,NaN,74,87,78,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,NaN,NaN,NaN
603420058,0,NaN,NaN,50,NaN,NaN,NaN,NaN,NaN,70,NaN,78,NaN,70,NaN,NaN,NaN,NaN,59,NaN,70,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75,83,NaN,NaN,NaN,70,68,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,NaN,NaN,NaN,NaN
